Title,Year,Domain,Contains_Definition,Uses_Actionability,Operationalization_Score,Relevance_Score,Key_Operationalization,Representative_Quote,CL,CR,FE,TI,EX,GA
Integrated Exploration of Data-Intensive Business Processes [Extended Abstract],2022.0,Process Mining / BPM,False,False,30,20,Activity View; process–data integration; formal queries; controlled experiment,"""...obtain insights ... support ... (re-)design and improvement."" (p. 1)",False,False,False,False,False,False
"Actionable Knowledge Discovery for Increasing Enterprise Profit, Using Domain Driven-Data Mining",2019.0,Data Mining / AKD (Business),True,True,78,86,Two-way Significance; domain-driven AKD; expected profit; cost matrices; pruning negative-class leaves,"""a pattern is ... actionable if the user can do something about it..."" (p. 2)",True,True,True,False,True,True
"A framework for analyzing the relationships between cancer patient satisfaction, nurse care...",2022.0,Healthcare (Patient Experience),True,True,65,78,Survey-based determinants; regression; SERVQUAL attributes; operational levers in nurse care,"""Measuring ... provides actionable insights..."" (p. 88)",,,,,,
YarnSense: Automated Data Storytelling for Multimodal Learning Analytics,2024.0,Education / Learning Analytics,True,True,90,88,Data storytelling architecture; multimodal matrices; QE modeling; teacher-intention alignment,"""...extracting actionable insights from data..."" (Abstract / p. 1)",True,True,True,True,True,True
Why-Not Explainable Graph Recommender,2024.0,AI / Recommender Systems,True,True,95,90,EMiGRe; counterfactual graph edits; PPR contributions; minimal explanations,"""...provides... actionable insights..."" (p. 1)",True,True,True,False,True,True
When Rigor Meets Relevance: Hybrid Actionable Knowledge Production Systems,2023.0,Management / Org Studies,True,True,88,92,"Hybridization stages (coexistence, juxtaposition, mingling); institutional mechanisms","""AK ... advances theoretical understanding and allows for solving practical problems"" (p. 2)",True,True,True,True,False,True
What Is 'Actionable' Science for Climate and Environment?,2023.0,Environmental / Climate Science,True,True,95,95,"Six-factor quantitative model: Relevance, Feasibility, Public Understanding, Societal Impact, Practicality, Engagement","""Actionable science requires... practical constraints..."" (p. 14)",True,True,True,True,True,True
What About Her? Increasing the Actionability of HUMINT...,2022.0,Security Studies / HUMINT,True,True,80,88,Mixed-gender teams; targeting strategy; training; interpreters; cultural access,"""...increase the actionability of intelligence collection..."" (p. 17)",True,True,True,True,True,True
User Perceptions of Actionability in Data Dashboards,2023.0,Dashboards / Data Visualization,True,True,88,92,Ivanković et al. criteria; usability testing; local granularity; storytelling cues; emotional load,"""Actionable data—that is, data that can inform decisions..."" (p. 257)",True,True,True,False,True,False
TriCTI: an actionable cyber threat intelligence discovery system,2022.0,Cybersecurity (CTI),True,True,92,95,Trigger-enhanced neural network; campaign-stage mapping; IOC extraction; BERT,"""[Actionable CTI] ... revealing campaign stages"" (p. 2)",True,True,True,True,True,True
