Title,Year,Discipline/Domain,Subdomain/Topic,Eligible,Actionability Term Used,Need Without Definition,Contains Definition,Contains Features/Dimensions,Contains Framework/Model,Operationalization Present,CL,CR,FE,TI,EX,GA,Overall Relevance Score,Operationalization Score,General Summary of the Paper,How Understood,What Makes Actionable,How Achieved,Quotes_TermUsed,Quotes_NeedWODef,Quotes_WhatMakes,Quotes_Dimensions,Quotes_Supporting,Domain
Integrated Exploration of Data-Intensive Business Processes [Extended Abstract],2022,Computer Science / Business Process Management,Data-aware business process modeling and analysis,Not Eligible,No,No,No,No,Yes,Yes,False,False,False,False,False,False,20,30,"This extended abstract summarizes a framework for the conceptual modeling and design-time analysis of data operations within business processes. The authors propose a uniform formal representation that integrates BPMN process models, conceptual database schemas, and the operations performed by processes on these databases. The approach is centered on the fiActivity View,fl which depicts the parts of a database schema accessed by each process activity and the operations performed. An algorithm identifies structural relations between activities (sequential, exclusive, parallel) and supports formal queries to answer four defined information needs concerning data usage. The approach was evaluated through a controlled experiment with 33 participants, demonstrating improved comprehension of integrated processŒdata models, and via a proof-of-concept implementation for both relational and XML databases.

---","N/A

---","N/A

---","N/A Š While operationalization is present for processŒdata analysis, it is not tied to a notion of being actionable.

---",[],[],[],[],[],Process Mining / BPM
"Actionable Knowledge Discovery for Increasing Enterprise Profit, Using Domain Driven-Data Mining",2019,Data Mining / Knowledge Discovery,Actionable Knowledge Discovery (AKD); Domain-Driven Data Mining (D3M); Post-processing Decision Trees; Profit-centric action rules,Eligible,Yes,No,Yes,Yes,Yes,Yes,True,True,True,True,True,True,86,78,"The authors propose a domain-driven AKD method that reduces computation while preserving profit by pruning decision-tree rules to only desired-class leaves and then generating costed actions that move instances from undesirable to desirable states. They formalize business/technical interestingness via a Two-way Significance view, define net profit using expected profit and probability gain minus action costs, and incorporate domain knowledge through flexible vs. stable attributes and cost matrices. A workflow (Fig. 3) guides preprocessing, tree induction (C4.5), domain knowledge setup, and action generation (Fig. 8). Experiments on four UCI datasets show fewer rules considered and significantly less runtime than Yang™s method and OF
n
CEAMA, with equal net profit on three datasets and near-equal on HR. (pp. 2Œ3, 6Œ12; Fig. 3 p. 6; Fig. 8 p. 9) :contentReference[oaicite:16]{index=16}

---","fiActionable Knowledge reflects business needs and end-user preferences and helps business people in direct decision making- It transforms the knowledge into business-friendly actions that are both concrete and profitable to decision-makers.fl (p. 1) 

> fia pattern is interesting or actionable if the user can do something about it to his or her advantage.fl (p. 3) :contentReference[oaicite:21]{index=21}

---","- **Bidirectional significance (technical + business):** 

 > fiThis framework measures actionability from both technical and business perspectives- Objective/Subjective Technical and Objective/Subjective Business interestingness.fl (p. 2) :contentReference[oaicite:22]{index=22}

- **Change-oriented, feasible attribute manipulation:** 

 > fiactions suggest how and which attribute values can be changed in order to achieve maximum profit- Flexible vs Stable attributes.fl (p. 3) :contentReference[oaicite:23]{index=23}

- **Profit impact (expected profit & probability gain vs cost):** 

 > fiP_net = P_e × P_gain 
-
 
S
 Cost_i.fl (p. 8) :contentReference[oaicite:24]{index=24}

- **Domain knowledge alignment:** 

 > fiselection of Flexible and Stable attributes, cost matrix for Flexible attributes and expected profit- determined by domain experts.fl (p. 8) :contentReference[oaicite:25]{index=25}

- **Validity with respect to desired class:** 

 > pruning negative-class leaves so actions actually move objects to the desired status. (pp. 7Œ8, 12) :contentReference[oaicite:26]{index=26}

---","- **Framework/Approach Name(s):** 

 Two-way Significance (technical/business); Loosely vs. Tightly Coupled AKD; Proposed D3M-ba",[],[],"[('fiThis framework measures actionability from both technical and business perspectives- Objective/Subjective Technical and Objective/Subjective Business interestingness.fl (p. 2) :contentReference[oaicite:22]{index=22}', ''), ('fiactions suggest how and which attribute values can be changed in order to achieve maximum profit- Flexible vs Stable attributes.fl (p. 3) :contentReference[oaicite:23]{index=23}', ''), ('fiP_net = P_e × P_gain', ''), ('fiselection of Flexible and Stable attributes, cost matrix for Flexible attributes and expected profit- determined by domain experts.fl (p. 8) :contentReference[oaicite:25]{index=25}', ''), ('pruning negative-class leaves so actions actually move objects to the desired status. (pp. 7Œ8, 12) :contentReference[oaicite:26]{index=26}', '')]",[],[],Data Mining / AKD
"A framework for analyzing the relationships between cancer patient satisfaction, nurse care, patient attitude, and nurse attitude in healthcare systems",2022,Healthcare Management / Patient Experience,"Cancer patient satisfaction, nurse care, attitudes, hospital service quality",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,False,False,False,True,78,65,"This paper develops and tests a framework linking cancer patient satisfaction with nurse care, nurse attitude, and patient attitude, while controlling for hospital service quality and patient characteristics. Using a survey of 217 cancer patients, statistical analysis (correlation and multiple regression) revealed that patient attitude had the strongest influence on satisfaction, while nurse care also had a positive relationship. Nurse attitude showed possible but not statistically strong effects. The study identifies key improvement areas, especially enhancing nurse care quality and fostering positive patient attitudes, to provide actionable guidance for hospital managers in improving cancer care services.","Actionability is understood as producing fiactionable insights to improve the healthcare servicesfl by identifying modifiable service factors (nurse care, patient attitudes) that directly influence patient satisfaction, thus guiding healthcare policy and management interventions.

> fiMeasuring the level of satisfaction provides actionable insights to improve the healthcare systemfl (p. 88) 

> fiIt pointed to several important areas to enhance the satisfaction of cancer patients by analyzing the level of nurse care, nurse attitude, and patient attitudefl (p. 87)","- Identifiable, measurable service quality attributes (tangibility, empathy, responsiveness, reliability, assurance) 

- Modifiable interpersonal and efficiency aspects of nurse care 

- Positive patient attitudes (trust, willingness to engage in treatment discussions, confidence in nurses) 

- Hospital service empathy and responsiveness 

- Alignment of nurse care with patient needs",,[],[],[],[],[],Healthcare / Clinical
YarnSense: Automated Data Storytelling for Multimodal Learning Analytics,2024,Learning Analytics / Educational Technology,"Automated Data Storytelling, Multimodal Learning Analytics, Nursing Simulation Training",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,88,90,"The authors present *YarnSense*, a multi-tier architecture for automatically generating educational data stories from multimodal behavioural data collected via wearable and environmental sensors, combined with teacher-defined pedagogical intentions. The aim is to transform raw sensor data into contextualised, interpretable, and pedagogically aligned narratives for student reflection. The architecture consists of: (1) a context modeller for teachers to define learning activities and assessment criteria; (2) a multimodal sensor data capture system; (3) multimodal modelling to generate learner models; and (4) a data storytelling generator combining visualisations and narratives. The system is demonstrated in large-scale nursing simulations with 254 students, producing automated feedback on errors and teamwork patterns. The paper discusses design considerations, alignment with learning theories, and potential future enhancements including LLM-based narrative generation.

---","Actionability is framed implicitly as the ability of multimodal data outputs to **support reflection, identify performance gaps, and align with pedagogical intentions** so students can meaningfully improve.

> fiBased on the notion of data storytelling as a means of extracting actionable insights from data-fl (Abstract) 

> fi-weaving complex data into coherent narratives that align with the teacher™s pedagogical intentionsfl (p. 9)

---","- Alignment with teacher™s pedagogical intentions and learning design

- Translation of raw sensor data into meaningful constructs

- Integration of contextual knowledge (roles, resources, assessment criteria)

- Clear visual and narrative presentation to non-experts

- Timely delivery to support post-activity reflection

- Inclusion of error detection and performance feedback linked to guidelines

---","- **Framework/Approach Name(s):** YarnSense Architecture 

- **Methods/Levers:** Pedagogical rule definition, sensor-based multimodal data capture, QE modelling, automated narrative & visual generation 

- **Operational Steps / Workflow:** 

 1. Teachers define learning context & pedagogical intentions (Context Modeller) 

 2. Collect multimodal data from machine and human sensing 

 3. Transform into learner models via multimodal matrices and QE modelling 

 4. Generate DS outputs combining data, visuals, and teacher feedback 

- **Data & Measures:** Positioning data, physiological data, audio/video, logged actions 

- **Implementation Context:** Nursing simulations with defined critical actions and teamwork assessment 

> fiData from the Learner Model are visualised and combined with narratives to convey a story for an individual student or a team.fl (p. 6)

---",[],[],[],[],[],Education / Learning
Why-Not Explainable Graph Recommender,2024,Computer Science / Artificial Intelligence,"Explainable Recommender Systems, Counterfactual Explanations, Graph-based Recommendations",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,False,True,True,90,95,"This paper introduces **EMiGRe**, a framework for generating *Why-Not explanations* in graph-based recommender systems, explaining why a desired item was not the top recommendation. Unlike existing explainable RS approaches (e.g., PRINCE), EMiGRe targets missing recommendations and outputs **actionable insights** in the form of counterfactual changes to the user™s interaction graphŠeither edges to remove (past actions) or edges to add (potential actions). The framework defines a formal problem setting, proposes search strategies (Add/Remove modes) with heuristics (Incremental, Powerset, Exhaustive Comparison), and evaluates performance on a processed Amazon reviews dataset. Results show feasibility, differences in runtime, success rates, and explanation size across methods. The authors highlight challenges such as popular items, cold-start users, and the need for meta-explanations.

---","Actionability is framed as providing explanations that *suggest concrete, feasible actions a user can take (or could have taken) to obtain the desired recommendation*. This goes beyond interpretability by prescribing **specific edge additions/removals** in the userŒitem graph. 

> fiWe opt for a form of Counterfactual Explanations- proposing a possible world that could have led to the desired outcomefl (p. 1) 

> fi-provides- actionable insights on the source data and their interrelationsfl (p. 1) 

---","- Directly modifiable by the user (edges rooted at the user node)

- Feasibility within privacy constraints (only user™s own actions)

- Causally linked to producing the desired recommendation (must result in WNI being top-1)

- Specificity (identifies exact edges to add or remove)

- Adaptability to system constraints and user preferences

---","- **Framework/Approach Name(s):** EMiGRe (Explainable Missing Graph Recommendation)

- **Methods/Levers:** Counterfactual graph modifications via edge addition (Add Mode) or removal (Remove Mode)

- **Operational Steps / Workflow:**

 1. Define Why-Not item (WNI)

 2. Identify candidate edges (user-rooted) influencing WNI ranking using Personalized PageRank contributions

 3. Search for minimal modification set (Incremental, Powerset, Exhaustive Comparison)

 4. Validate candidate explanations against top-1 constraint

- **Data & Measures:** Personalized PageRank scores, contribution metrics, runtime, success rate, explanation size

- **Implementation Context:** Post-hoc explanation for graph-based RS, tested on Amazon product reviews

> fi-set of edges rooted at the user u node- to replace rec by WNI as the recommendationfl (p. 5) 

> fi-propose- missing pertinent edges to be added- or existing edges to be removedfl (p. 5)

---",[],[],[],[],[],Explainable AI / ML
When Rigor Meets Relevance: the Development of Hybrid Actionable Knowledge Production Systems,2023,Management / Organizational Studies,"Actionable Knowledge, Hybrid Research Systems, RigorŒRelevance Gap",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,False,True,92,88,"The paper challenges the dominant fibridging theoriesfl of actionable knowledge, which assume rigor and relevance are ontologically separate and must be linked through temporary collaborative mechanisms. Instead, the authors introduce the concept of firesearch hybridization,fl where these dimensions are institutionally mingled over time. Through two case studies of business schools in Canada and Brazil, the authors develop a three-stage model of hybridization: **coexistence**, **juxtaposition**, and **mingling**. These stages describe the evolution from parallel operation of rigorous and relevant knowledge systems to fully integrated outputs indistinguishable in their dual qualities. The study highlights the role of institutional actions Š not just individual collaborations Š in sustaining AK production, and contrasts these mechanisms with those found in bridging theories. 

---","AK is defined as knowledge that is both **rigorous** (advances theoretical understanding) and **relevant** (produces practical or social impact). It involves changes in professional practice or institutions through active stakeholder participation. 

> fiAK refers to knowledge that both advances the theoretical understanding of phenomena and allows for a better resolution of real problems-fl (p. 2) 

> fi-embodying the features of both systems in a way that one could not distinguish them in the final material output.fl (p. 24)

---","- Integrates **scientific rigor** and **practical relevance** in the same output. 

- Involves **multi-stakeholder participation** and recognition. 

- Supported by **institutional structures** that embed this integration. 

- Produces outputs (e.g., reports, journal articles, cases) **valued by both academic and practitioner audiences**. 

- Sustains **legitimacy** across both academic and practice communities. 

---","- **Framework/Approach Name(s):** Research Hybridization (three stages: coexistence, juxtaposition, mingling) 

- **Methods/Levers:** Institutional entrepreneurial/supportive actions; structural mechanisms for regulation; stakeholder engagement 

- **Operational Steps / Workflow:** 

 1. **Coexistence** Š bring together rigor- and relevance-oriented components via projects, partnerships, thematic teams. 

 2. **Juxtaposition** Š formalize and couple processes, regulations, revenue models. 

 3. **Mingling** Š produce outputs embodying both rigor and relevance seamlessly. 

- **Data & Measures:** Project portfolios, partnerships, publication and dissemination outputs, stakeholder feedback. 

- **Implementation Context:** Business schools with research offices and hybrid research units. 

> fiWe developed a conceptual model to describe the process by which- knowledge systems are hybridized-fl (p. 1) 

> fiInstitutional entrepreneurial and supportive actions aimed at creating multivoiced knowledge-based projects-fl (p. 25)

---",[],[],[],[],[],Education / Learning
What Is fiActionablefl Science for Climate and Environment?,2023,Environmental Science / Climate Science,Actionable science; climate change adaptation and mitigation; environmental decision support,Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,95,95,"The chapter defines fiactionable sciencefl as research explicitly designed to produce knowledge, recommendations, or tools that can be applied directly to address real-world environmental and climate challenges. It distinguishes this from traditional science focused on fiwhyfl questions, emphasizing application-specific fiwhatfl and fihowfl questions in a defined time and place. The author presents a multi-factor quantitative model for assessing actionability, incorporating relevance to real-world needs, feasibility, public understanding, societal impact, operational practicality, and stakeholder engagement. Real-world examples include sea-level rise adaptation, carbon capture technology, and coastal resilience programs. The chapter also addresses barriers such as funding limitations, policy constraints, and lack of interdisciplinary collaboration, advocating for strategies to integrate science into decision-making processes effectively.

---","Actionable science is fioriented towards answering inquiries such as ‚What actions should we take in this specific place and time today™fl and must integrate the fiwhy,fl fiwhat,fl and fihowfl dimensions, aiming for solutions implementable in the present or near future. 

> fiActionable science requires a meticulous examination of ideas within the confines of practical constraints and a holistic assessment of their feasibility for stakeholders.fl (p. 5) 

> fiAn actionable science endeavor should not run counter to the overarching consensus goals shared by both the scientific community and society at large.fl (p. 7)

---","- Alignment with real-world challenges and operational application goals.

- Practical application potential for significant societal challenges.

- Consideration of fiwhat-iffl engineering questions and operational uncertainties.

- Feasibility within resource, scalability, political, and economic constraints.

- Public understanding through clarity and transparency.

- Measurable societal, environmental, economic, and cultural impacts.

- Practicality from the operators™ perspective.

- High engagement with stakeholders and end users.

---","- **Framework/Approach Name(s):** Quantitative actionability assessment model. 

- **Methods/Levers:** Six-factor model: Relevance, Feasibility, Public Understanding, Societal Impact, Practicality by Operators, Stakeholder Engagement. 

- **Operational Steps / Workflow:** 

 1. Define project objectives and societal alignment. 

 2. Assess each factor using quantitative/qualitative indicators. 

 3. Identify barriers (e.g., policy, economics) and design mitigation strategies. 

 4. Engage stakeholders early and iteratively. 

 5. Use feedback to refine applicability and implementation readiness. 

- **Data & Measures:** Accessibility scores, scalability indices, impact metrics (economic, environmental, social, health, cultural), complexity and cost assessments, engagement rates. 

- **Implementation Context:** Climate and environmental projects at local, regional, and global scales. 

> fiIf the answer is ‚yes™ to all three questions, the research falls within the high basket of actionable science.fl (p. 7) 

> fiThe overarching goal is to provide decision-makers with the tools and information they need to make well-informed choices.fl (p. 8)

---",[],[],[],[],[],Explainable AI / ML
What About Her? Increasing the Actionability of HUMINT in Paternalistic Cultures by Considering Female Intelligence,2022,Intelligence Studies / Security Studies,"Human Intelligence (HUMINT), Gender Integration, Paternalistic Cultures",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,88,80,"The article examines the role of fifemale intelligencefl Š the gender-sensitive integration of women as both targets and operatives Š in enhancing HUMINT actionability in paternalistic cultural contexts. It critiques outdated and emerging myths about women™s utility in intelligence, evaluates historical initiatives such as Female Engagement Teams (FETs) and Cultural Support Teams (CSTs), and identifies four key areas of concern: basic assumptions, implementation, human resource development, and recruitment. Using survey and interview data from Bundeswehr operatives, the study reveals mixed incorporation of female targets, persistent interpreter shortages, and both opportunities and limits in female operators™ access. The authors argue that the true value of female integration lies in increasing operational fiactionabilityfl Š the flexibility and options available to HUMINT teams. Recommendations include systematic targeting of women, integrated mixed-gender teams, improved training, and building a cadre of female interpreters.

---","Actionability is framed as the increased operational flexibility and diversity in options available to HUMINT units when female operators are integrated and female targets are systematically engaged. It is not gender-exclusive but derives from mixed-gender teams leveraging complementary access, influence, and tactical roles. 

> fiWe advocate the integration of female and male operators in the same units by creating and supporting mixed teams- increase the actionability of intelligence collection entitiesfl (p. 17) 

> fiActionability- [is] the general flexibility and the elbow room to play with the circumstancesfl (p. 17) 

---","- Inclusion of both male and female operators to broaden operational scenarios.

- Ability to engage otherwise inaccessible targets (especially across gender lines in paternalistic cultures).

- Flexibility in adapting team composition and role-playing to exploit cultural dynamics.

- Adequate logistical, linguistic, and training support (e.g., interpreters, cultural competence).

- Targeting strategy that includes both male and female sources.

---","- **Framework/Approach Name(s):** Female Intelligence Integration for Actionability (conceptual). 

- **Methods/Levers:** Targeting female sources, mixed-gender team integration, debunking myths, systematic inclusion in planning. 

- **Operational Steps / Workflow:** Assessment of current beliefs, recruitment and training, inclusion in mission briefs, language skill development, role-play exploitation in cultural contexts. 

- **Data & Measures:** Survey (Likert-scale) and interviews with Bundeswehr HUMINT operators; descriptive and inferential analysis of access patterns and perceptions. 

- **Implementation Context:** Military HUMINT in Afghanistan, Iraq, Kosovo. 

> fiTwo concepts are essential: targeting female sources and increasing actionabilityfl (p. 14) 

> fiIncluding female targets and- combining male and female capabilities- would increase the actionability of intelligence collection entitiesfl (p. 17) 

---",[],[],[],[],[],Healthcare / Clinical
User Perceptions of Actionability in Data Dashboards,2023,Technical and Professional Communication / Data Visualization,"COVID-19 Dashboards, Actionability, User Perceptions",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,False,True,False,92,88,"The article reports on a multiphase usability study of ten nonexpert participants interacting with two COVID-19 dashboardsŠSanta Barbara County Community (SBCC) and Covid Act Now (CAN). Using Ivankovi
n
 et al.™s (2021) seven criteria for dashboard actionability as an evaluative framework, the study investigates how users perceive and interact with dashboard features that support decision making. Findings suggest that criteria related to knowing the audience, managing information volume/flow, and providing local granularity were most important, while others (e.g., linking to policy decisions) were less salient. The study identifies an additional dimensionŠemotional impact of dashboard dataŠas crucial to actionability. The author proposes prioritization of criteria when designing for general audiences.","Actionability is explicitly defined as the ability of data dashboards to inform and support user decision making, with criteria from Ivankovi
n
 et al. (2021) guiding evaluation. Implicitly, actionability is also framed as the fifitfl between information, user, and purpose, requiring relevance, accessibility, and usability. 

> fiActionable dataŠthat is, data that can inform decisions that users need to makefl (p. 257) 

> fiThere needs to be a ‚fit™ between the information, the user, and the purposes for which the information is being soughtfl (p. 258)","- Alignment with audience needs and contexts 

- Appropriate type, amount, and organization of information 

- Clear data sources and methodology 

- Time trends linked to relevant decisions 

- Locally granular data 

- Demographic subgroup breakdowns 

- Storytelling and intuitive visual cues 

- Emotional engagement that does not overwhelm decision making","- **Framework/Approach Name(s):** Ivankovi
n
 et al.™s seven criteria for actionable dashboards (adapted) 

- **Methods/Levers:** Usability design principles (navigation structure, composite indicators, visual simplification), local and demographic data inclusion, accessible explanations, multilingual support 

- **Operational Steps / Workflow:** Audience analysis 
®
 Data selection 
®
 Display design (tabs, color codes, summaries) 
®
 Navigation optimization 
®
 Contextual explanations 
®
 Emotional impact consideration 

- **Data & Measures:** Infection rates, vaccination rates, hospitalizations, mortality, demographic breakdowns, risk levels 

- **Implementation Context:** COVID-19 public health dashboards at county level 

> fiParticipants frequently discussed wanting to find data that met their information needs, was relatively easy to navigate, and provided local granularityfl (p. 269) 

> fiAccounting for the emotional impact of data dashboards- would be a helpful addition to an analysis of their actionabilityfl (p. 268)",[],[],[],[],[],Public Policy / Governance
TriCTI: an actionable cyber threat intelligence discovery system via trigger-enhanced neural network,2022,Cybersecurity,"Cyber threat intelligence, NLP, threat detection",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,95,92,"The authors propose TriCTI, a trigger-enhanced neural network system for discovering actionable cyber threat intelligence from unstructured cybersecurity reports. Actionable CTI, in this context, couples indicators of compromise (IOCs) with their campaign stages (e.g., Delivery, Exploitation, Command & Control). The system uses ficampaign triggersfl Š explanatory keywords or phrases Š to improve classification accuracy and interpretability. TriCTI employs data preprocessing, IOC detection and filtering, trigger annotation, data augmentation (via retrofitted CBERT), and a trigger-enhanced BERT classifier. Evaluations on over 29,000 reports and 113,543 extracted actionable CTIs show improved performance over baseline models (F1: 87.02%). The system is validated against VirusTotal data, demonstrating that TriCTI can identify actionable intelligence across all campaign stages, surpassing existing industry tools.

---","Actionable CTI is defined as CTI that ficonveys a richer context of IOCs by revealing their campaign stagesfl (p.2) and enables SOC teams to prioritize urgent threats and fitake appropriate mitigation measures based on contextual information of the alertsfl (p.1Œ2). 

> fiActionable CTI can provide incident response teams with actionable insights and recommendations to stay nimble and precise in decision-making and taking effective actionsfl (p.2) 

> fiIf actionable CTI is integrated into intrusion detection systems, SOC teams can take appropriate mitigation actions based on contextual information of the alertsfl (p.2)

---","- Coupling IOCs with campaign stages for context. 

- Providing interpretability for prioritization of threats. 

- Supporting direct mitigation decisions aligned with attack phase. 

- Being complete across all stages of the attack lifecycle. 

- Accurate extraction to avoid false positives.

---","- **Framework/Approach Name(s):** TriCTI (Trigger-enhanced Cyber Threat Intelligence discovery system) 

- **Methods/Levers:** Campaign trigger annotation, IOC detection and filtering, BERT-based trigger vector generation, data augmentation via retrofitted CBERT 

- **Operational Steps / Workflow:** Data crawling 
®
 preprocessing (purification, segmentation, IOC fanging) 
®
 regex-based IOC identification and filtering 
®
 candidate sentence extraction 
®
 trigger annotation 
®
 data augmentation 
®
 trigger vector training 
®
 trigger-enhanced classification 
®
 actionable CTI generation with campaign stage mapping. 

- **Data & Measures:** 29,686 cybersecurity reports; annotated datasets DS-1 and DS-2; evaluation metrics: Accuracy, Precision, Recall, Macro F1; VirusTotal verification. 

- **Implementation Context:** Applied to unstructured vendor reports spanning 2000Œ2021; verified using large-scale IOC data from VirusTotal. 

> fiThe sooner the detection is done, the less loss the organization under attack will sufferfl (p.8) 

> fiApplying actionable CTI to intrusion detection systems can guide security operators to make faster, better decisionsfl (p.8)

---",[],[],[],[],[],Explainable AI / ML
