Title,Year,Domain,IsPM,Dimension,Present
Integrated Exploration of Data-Intensive Business Processes [Extended Abstract],2022,Process Mining / BPM,True,CL,False
"Actionable Knowledge Discovery for Increasing Enterprise Profit, Using Domain Driven-Data Mining",2019,Data Mining / AKD,False,CL,True
"A framework for analyzing the relationships between cancer patient satisfaction, nurse care, patient attitude, and nurse attitude in healthcare systems",2022,Healthcare / Clinical,False,CL,True
YarnSense: Automated Data Storytelling for Multimodal Learning Analytics,2024,Education / Learning,False,CL,True
Why-Not Explainable Graph Recommender,2024,Explainable AI / ML,False,CL,True
When Rigor Meets Relevance: the Development of Hybrid Actionable Knowledge Production Systems,2023,Education / Learning,False,CL,True
What Is fiActionablefl Science for Climate and Environment?,2023,Explainable AI / ML,False,CL,True
What About Her? Increasing the Actionability of HUMINT in Paternalistic Cultures by Considering Female Intelligence,2022,Healthcare / Clinical,False,CL,True
User Perceptions of Actionability in Data Dashboards,2023,Public Policy / Governance,False,CL,True
TriCTI: an actionable cyber threat intelligence discovery system via trigger-enhanced neural network,2022,Explainable AI / ML,False,CL,True
Towards User Guided Actionable Recourse,2023,Explainable AI / ML,False,CL,True
Towards an Extensible Web Usage Mining Framework for Actionable Knowledge,2017,Data Mining / AKD,False,CL,True
Actionable Recommendations in the Bright Futures Child Health Supervision Guidelines,2014,Healthcare / Clinical,False,CL,True
The Heuristic Uses of Four 'Knows' for Managing Knowledge in Education,,Education / Learning,False,CL,True
The Emerging Role of Global Situational Awareness 2.0 Resources in Disaster Response,2010,Healthcare / Clinical,False,CL,True
The assessment of urban eco-efficiency of Brazilian municipalities based on directional distance functions,2025,Explainable AI / ML,False,CL,True
Telling stories: Exploring the relationship between myths and ecological wisdom,2016,Environmental / Energy,False,CL,True
Supporting school leadership decision making with holistic school analytics: Bridging the qualitative-quantitative divide using fuzzy-set qualitative comparative analysis,2018,Education / Learning,False,CL,True
Stream Reasoning for the Internet of Things: Challenges and Gap Analysis,2016,Explainable AI / ML,False,CL,True
SmartReviews: Towards Human- and Machine-Actionable Representation of Review Articles,2021,Software / Systems,False,CL,True
Smart computing based student performance evaluation framework for engineering education,2017,Education / Learning,False,CL,True
Situation Recognition Using EventShop,2016,Explainable AI / ML,False,CL,True
"Sharing science through shared values, goals, and stories: an evidence-based approach to making science matter",2021,Explainable AI / ML,False,CL,True
Secondary findings from next-generation sequencing: what does actionable in childhood really mean?,2019,Healthcare / Clinical,False,CL,True
Return of non-ACMG recommended incidental genetic findings to pediatric patients: considerations and opportunities from experiences in genomic sequencing,2022,Healthcare / Clinical,False,CL,True
Reconciling evidence-based medicine and precision medicine in the era of big data: challenges and opportunities,2016,Healthcare / Clinical,False,CL,True
Prospective Longitudinal ctDNA Workflow Reveals Clinically Actionable Alterations in Ovarian Cancer,2019,Healthcare / Clinical,False,CL,True
Policy Helix and Antecedents of Cybersecurity Policymaking Agility,2023,Public Policy / Governance,False,CL,True
PIK3R1 W624R Is an Actionable Mutation in High Grade Serous Ovarian Carcinoma,2020,Healthcare / Clinical,False,CL,True
Opportunity Map: A Visualization Framework for Fast Identification of Actionable Knowledge,2005,Software / Systems,False,CL,True
Ontological Approach in the Smart Data Paradigm as a Basis for Open Data Semantic Markup,2023,Explainable AI / ML,False,CL,True
"Next-generation sequencing, should I use anti-HER2 therapy for HER2-amplified tumors off-label? Illustrating an extrapolation framework",2022,Healthcare / Clinical,False,CL,True
Navigating Uncertainty: Challenges in Visualizing Ensemble Data and Surrogate Models for Decision Systems,2025,Explainable AI / ML,False,CL,True
