Keyword,Count
process,44
data,37
event,31
framework,28
contentreference,26
oaicite,26
index,26
context,25
operational,24
approach,23
methods,23
name,22
levers,22
measures,22
steps,21
implementation,21
logs,17
analysis,14
performance,13
mining,13
models,12
model,11
case,11
compliance,11
actions,10
knowledge,9
time,9
discovery,7
flow,7
decision,7
action,7
rule,7
kpis,6
monitoring,6
support,6
redesign,6
intervention,6
evaluate,6
activity,6
processes,6
systems,5
cost,5
outcome,5
rules,5
formulas,5
generate,5
activities,5
design,5
identify,5
improvement,5
